run,group,threshold,seed,test_iou,test_precision,test_recall,test_bg_iou,val_iou,val_loss,best_val_loss,duration_min,status
reproducibility_dci_followup_full_threshold_2p0_seed42_desktop_20260609_082513,full_threshold,2.0,42,0.3701771493946382,0.7176701224929976,0.43327340926643976,0.9799932674551206,0.12617366015911102,-0.34663882851600647,-1.2205488681793213,36.27953333333333,FINISHED
reproducibility_dci_followup_full_threshold_2p0_seed1337_desktop_20260609_065405,full_threshold,2.0,1337,0.007538019556680107,0.9858669424336266,0.007538834222089837,0.9733696467013865,0.005074739456176758,0.038178861141204834,-0.3310506343841553,29.0229,FINISHED
reproducibility_dci_followup_full_threshold_2p0_seed2026_desktop_20260609_072342,full_threshold,2.0,2026,0.368783668437544,0.6834999716417788,0.44472927413679025,0.9793346561926134,0.24814097583293915,-0.6447243094444275,-1.3365190029144287,31.79981666666667,FINISHED
reproducibility_dci_followup_full_threshold_2p0_seed3407_desktop_20260609_075606,full_threshold,2.0,3407,0.32805789931387414,0.5058519548636476,0.48277007346409423,0.9731273306555092,0.01895781047642231,0.026570895686745644,-1.169704556465149,28.5067,FINISHED
reproducibility_dci_followup_full_threshold_2p5_seed42_desktop_20260609_103508,full_threshold,2.5,42,0.34175081438897026,0.7414652084771118,0.38798373087943394,0.9797434198910783,0.14733147621154785,-0.2854291796684265,-1.2421730756759644,27.568516666666667,FINISHED
reproducibility_dci_followup_full_threshold_2p5_seed1337_desktop_20260609_090206,full_threshold,2.5,1337,0.062304935693663445,0.9550976007735522,0.06248797345065094,0.9747307429105986,0.0003886719059664756,0.13663268089294434,-0.7459743618965149,33.738816666666665,FINISHED
reproducibility_dci_followup_full_threshold_2p5_seed2026_desktop_20260609_093626,full_threshold,2.5,2026,0.3056565969215429,0.746790320159791,0.3409964968144471,0.9790294651685124,0.1466372013092041,-0.3512618839740753,-1.2254763841629028,28.64275,FINISHED
reproducibility_dci_followup_full_threshold_2p5_seed3407_desktop_20260609_100541,full_threshold,2.5,3407,0.31059711131922685,0.6451205810588434,0.37460098215721366,0.9774701177690029,0.05199074372649193,-0.01537514291703701,-1.113717794418335,28.851383333333334,FINISHED
reproducibility_dci_followup_full_threshold_3p16_seed42_desktop_20260609_123143,full_threshold,3.16,42,0.29589493325678196,0.7933371381981245,0.3206073769865223,0.9793579489044075,0.07621762901544571,-0.22631049156188965,-1.1801396608352661,31.191566666666667,FINISHED
reproducibility_dci_followup_full_threshold_3p16_seed1337_desktop_20260609_110319,full_threshold,3.16,1337,0.02180504007775849,0.9686402995553419,0.021820443947713174,0.9737266972029074,0.006675432436168194,0.026019645854830742,-0.5632408857345581,27.8159,FINISHED
reproducibility_dci_followup_full_threshold_3p16_seed2026_desktop_20260609_113144,full_threshold,3.16,2026,0.3289413475058986,0.7743454807101599,0.36381596809438826,0.9798946705073244,0.15984369814395905,-0.4170221984386444,-1.3372119665145874,30.584116666666667,FINISHED
reproducibility_dci_followup_full_threshold_3p16_seed3407_desktop_20260609_120255,full_threshold,3.16,3407,0.2558466245495766,0.7835133138036703,0.27530847275344056,0.9783603729982481,0.0020208084024488926,0.02574724704027176,-1.1826990842819214,28.1924,FINISHED
reproducibility_dci_followup_full_threshold_5p0_seed42_desktop_20260609_143647,full_threshold,5.0,42,0.370320440794144,0.7738285576750683,0.41526719368214055,0.9808458591637639,0.15537631511688232,-0.5471206307411194,-1.5752580165863037,36.4194,FINISHED
reproducibility_dci_followup_full_threshold_5p0_seed1337_desktop_20260609_130331,full_threshold,5.0,1337,0.10726880334997582,0.8272374082133516,0.10972694131571108,0.9754320456832024,0.10622549802064896,-0.4023561477661133,-1.2283427715301514,32.912933333333335,FINISHED
